rank,symbol,name,market,industry,idea_score,rank_score,confidence_score,risk_adjusted_score,buying_tier,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_volatility_pct,recommendation,risk_score,research_action_view,action,thesis_summary,catalyst_notes,data_quality_flags,ret_20d,rel_to_taiex_20d,rel_to_sector_20d,rel_to_industry_20d
11,2308,台達電,TWSE,電子零組件業,65.45,56.55,86.4,73.62,formal_buy,3.2184,5.3933,-30.2239,50.0985,買入,52.44,交易型加碼,Neutral,台達電 屬於 high 動能 / mid 基本面組合，估值區間偏 neutral。,20 日相對題材強勢,missing:quality_score / quality:previous_period_unavailable,51.39860139860139,26.233576867118778,16.286160738920977,-0.8431534583235631
12,3006,晶豪科,TWSE,半導體業,65.39,56.5,86.4,58.94,not_buyable,1.5629,2.5734,-36.5942,70.0624,賣出,89.48,賣出/移出觀察,Neutral,晶豪科 屬於 mid 動能 / high 基本面組合，估值區間偏 neutral。,等待下一個基本面或事件催化。,missing:quality_score / quality:previous_period_unavailable,20.93023255813953,-4.234791973343086,-14.182208101540887,-20.829421588078063
13,3653,健策,TWSE,電子零組件業,68.09,55.97,82.2,62.29,not_buyable,1.9646,3.7002,-44.6154,66.6331,賣出,95.0,賣出/移出觀察,Neutral,健策 屬於 high 動能 / high 基本面組合，估值區間偏 neutral。,等待下一個基本面或事件催化。,missing:quality_score / quality:unavailable / extreme-volatility / quality:previous_period_unavailable,28.840970350404316,3.6759458189217007,-6.271470309276101,-23.40078450652064
14,2382,廣達,TWSE,電腦及週邊設備業,67.44,55.44,82.2,40.46,not_buyable,0.4737,0.6475,-37.037,37.8166,持有,66.7,降風險,Neutral,廣達 屬於 mid 動能 / high 基本面組合，估值區間偏 neutral。,等待下一個基本面或事件催化。,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,12.82952548330405,-12.335499048178566,-22.282915176376367,-3.825750329709596
15,4919,新唐,TWSE,半導體業,66.16,54.38,82.2,43.54,not_buyable,1.0607,1.7639,-49.0276,58.9513,持有,95.0,降風險,Neutral,新唐 屬於 high 動能 / low 基本面組合，估值區間偏 neutral。,20 日相對題材強勢,missing:quality_score / quality:unavailable / extreme-volatility / quality:previous_period_unavailable,78.57142857142856,53.40640403994594,43.45898791174814,36.81177442521096
16,8150,南茂,TWSE,半導體業,65.96,54.22,82.2,62.71,not_buyable,1.6706,2.7124,-37.7193,56.8616,持有,95.0,降風險,Neutral,南茂 屬於 mid 動能 / mid 基本面組合，估值區間偏 cheap。,20 日相對題材強勢,missing:quality_score / quality:unavailable / extreme-volatility / quality:previous_period_unavailable,48.324514991181644,23.15949045969903,13.212074331501228,6.564860844964052
17,2454,聯發科,TWSE,半導體業,65.84,54.12,82.2,72.54,not_buyable,1.7124,3.4857,-26.6026,48.0251,持有,81.19,降風險,Neutral,聯發科 屬於 high 動能 / mid 基本面組合，估值區間偏 neutral。,20 日相對題材強勢,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,115.35836177474401,90.1933372432614,80.2459211150636,73.59870762852643
18,2356,英業達,TWSE,電腦及週邊設備業,64.4,52.94,82.2,38.46,not_buyable,0.2009,0.298,-30.7457,36.837,賣出,71.52,賣出/移出觀察,Neutral,英業達 屬於 low 動能 / high 基本面組合，估值區間偏 cheap。,等待下一個基本面或事件催化。,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,14.932680538555697,-10.232343992926918,-20.17976012112472,-1.722595274457948
19,6274,台燿,TPEx,電子零組件業,63.84,52.48,82.2,68.82,not_buyable,3.1267,5.0911,-34.6369,61.6051,持有,95.0,降風險,Neutral,台燿 屬於 high 動能 / high 基本面組合，估值區間偏 expensive。,20 日相對題材強勢,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,96.4573268921095,71.29230236062689,61.34488623242909,44.21557203518455
20,2345,智邦,TWSE,通信網路業,63.62,52.3,82.2,64.88,not_buyable,2.1716,3.4826,-43.7984,58.7377,持有,86.74,降風險,Neutral,智邦 屬於 high 動能 / mid 基本面組合，估值區間偏 expensive。,20 日相對題材強勢,missing:quality_score / quality:unavailable / quality:previous_period_unavailable,56.91823899371069,31.753214462228073,21.80579833403027,41.195342522749804
